"roi","ACME","ACME_p","ACME_ci_low","ACME_ci_high","ADE","ADE_p","Total","Total_p","Prop_Mediated","Prop_Mediated_p","N"
"brain_sim_53",0.000125751505771892,0.858,-0.00147136771821479,0.00174310484652625,0.0781517768864023,0,0.0782775283921742,0,0.00160648283555749,0.858,4392
"brain_sim_54",0.000409466640271639,0.596,-0.00113796483657494,0.00209711639215225,0.0778680617519073,0,0.0782775283921789,0,0.00523096026001442,0.596,4392
"brain_sim_55",-0.000178837792639217,0.796,-0.00186300459270212,0.00129655315228624,0.07845636618481,0,0.0782775283921707,0,-0.00228466325282064,0.796,4392
"brain_sim_56",8.09671579173765e-07,0.978,-0.000524294071136791,0.000493781686681658,0.078276718720589,0,0.0782775283921681,0,1.03436017437512e-05,0.978,4392
"brain_sim_57",-5.25012192167712e-05,0.872,-0.000708862008748691,0.000594430124374159,0.0783300296113837,0,0.0782775283921669,0,-0.000670706143834058,0.872,4392
"brain_sim_58",4.70964923998623e-06,0.974,-0.000543143050653145,0.000465496422742219,0.0782728187429387,0,0.0782775283921787,0,6.01660442878369e-05,0.974,4392
"brain_sim_59",0.000197580118773223,0.652,-0.00064201620166875,0.00131561628661799,0.0780799482733983,0,0.0782775283921716,0,0.00252409756454424,0.652,4392
"brain_sim_60",0.00197333411115609,0.082,-0.000270388389328259,0.00438024949719088,0.0763041942810206,0,0.0782775283921767,0,0.0252094585979967,0.082,4392
"brain_sim_61",0.001168646681493,0.06,-3.90355243929985e-05,0.00292170945620703,0.0771088817106756,0,0.0782775283921687,0,0.0149295296555367,0.06,4392
"brain_sim_62",9.45090164693331e-05,0.72,-0.000532415289580332,0.000960583426511255,0.0781830193757078,0,0.0782775283921772,0,0.00120735820880591,0.72,4392
"brain_sim_63",-0.000324702764638213,0.556,-0.00175486398046293,0.000794738926009682,0.0786022311568168,0,0.0782775283921786,0,-0.00414809679492457,0.556,4392
"brain_sim_64",0.000961600136801267,0.252,-0.000697979830620597,0.00312732707622237,0.0773159282553644,0,0.0782775283921656,0,0.0122844979466356,0.252,4392
"brain_sim_65",-0.000347466966528796,0.568,-0.00174898390936521,0.000931700863127694,0.0786249953587033,0,0.0782775283921745,0,-0.00443891080448999,0.568,4392
"brain_sim_66",0.000456923161309639,0.332,-0.000385369510755388,0.00187857007851767,0.0778206052308606,0,0.0782775283921703,0,0.00583722008978688,0.332,4392
"brain_sim_67",0.00033195241464033,0.482,-0.000702009559545405,0.00166436061185839,0.0779455759775363,0,0.0782775283921766,0,0.00424071149739453,0.482,4392
"brain_sim_68",5.95633065646903e-05,0.942,-0.00126704464094966,0.00131305979131758,0.0782179650856107,0,0.0782775283921754,0,0.000760924722434698,0.942,4392
"brain_sim_69",7.332358393272e-06,0.95,-0.000928692093024849,0.000852639563723408,0.0782701960337746,0,0.0782775283921679,0,9.36713070006135e-05,0.95,4392
"brain_sim_70",9.08187896001739e-05,0.9,-0.000929470438488372,0.00109283226856343,0.0781867096025664,0,0.0782775283921666,0,0.00116021534488386,0.9,4392
"brain_sim_71",-2.43011607770818e-05,0.96,-0.000832153283600837,0.000738182169080282,0.0783018295529529,0,0.0782775283921758,0,-0.000310448749165039,0.96,4392
"brain_sim_72",0.000432231700380655,0.418,-0.000650341953230046,0.00188194539739175,0.0778452966918,0,0.0782775283921807,0,0.00552178523337013,0.418,4392
"brain_sim_73",1.69392655337285e-05,0.984,-0.000587604555083936,0.000559952771407259,0.0782605891266346,0,0.0782775283921683,0,0.000216400107178438,0.984,4392
"brain_sim_74",0.000146118514578712,0.648,-0.000431194008846773,0.00116852303668732,0.0781314098775894,0,0.0782775283921681,0,0.00186667256337812,0.648,4392
"brain_sim_75",0.000574011874984858,0.288,-0.000362365961448709,0.00206158050548816,0.0777035165171877,0,0.0782775283921725,0,0.00733303525002786,0.288,4392
