similarity,distance,group,character,sub
,6,2,0,6
,7,2,0,6
,8,2,0,6
0.4813738465309143,1,2,0,6
0.5159943699836731,2,2,0,6
0.31653961539268494,3,2,0,6
0.22657839953899384,4,2,0,6
0.3469517230987549,5,2,0,6
0.4814944565296173,6,2,0,6
0.4843701720237732,7,2,0,6
0.6054551601409912,1,2,0,6
0.6170986294746399,2,2,0,6
0.44009295105934143,3,2,0,6
0.39251965284347534,4,2,0,6
0.5238901972770691,5,2,0,6
0.47852450609207153,6,2,0,6
0.5296933650970459,1,2,0,6
0.3098137080669403,2,2,0,6
0.44057124853134155,3,2,0,6
0.6060596108436584,4,2,0,6
0.64705491065979,5,2,0,6
0.5522581934928894,1,2,0,6
0.48901328444480896,2,2,0,6
0.5319868326187134,3,2,0,6
0.5237859487533569,4,2,0,6
0.29138413071632385,1,2,0,6
0.3133745491504669,2,2,0,6
0.386130690574646,3,2,0,6
0.4606230854988098,1,2,0,6
0.4660181403160095,2,2,0,6
0.5924993753433228,1,2,0,6
0.5364298224449158,1,2,0,7
0.3875458240509033,2,2,0,7
0.4084095358848572,3,2,0,7
0.3439560830593109,4,2,0,7
0.5762357115745544,5,2,0,7
0.32969576120376587,6,2,0,7
0.28486862778663635,7,2,0,7
0.24685221910476685,8,2,0,7
0.5088627338409424,9,2,0,7
0.499272882938385,1,2,0,7
0.4651082754135132,2,2,0,7
0.45839980244636536,3,2,0,7
0.2586098909378052,4,2,0,7
0.3658573031425476,5,2,0,7
0.3795474171638489,6,2,0,7
0.36810484528541565,7,2,0,7
0.38155874609947205,8,2,0,7
0.5018244385719299,1,2,0,7
0.452982097864151,2,2,0,7
0.25414690375328064,3,2,0,7
0.4278450310230255,4,2,0,7
0.5424219965934753,5,2,0,7
0.35749155282974243,6,2,0,7
0.5136697888374329,7,2,0,7
0.5689385533332825,1,2,0,7
0.3251611292362213,2,2,0,7
0.43297824263572693,3,2,0,7
0.4770016670227051,4,2,0,7
0.48481035232543945,5,2,0,7
0.5431904196739197,6,2,0,7
0.32935163378715515,1,2,0,7
0.3814232647418976,2,2,0,7
0.4256006181240082,3,2,0,7
0.4431840777397156,4,2,0,7
0.38961371779441833,5,2,0,7
0.26806697249412537,1,2,0,7
0.22561755776405334,2,2,0,7
0.34009334444999695,3,2,0,7
