subject,run,order,transcribe,subid_check,character,index
1005,10,2,"I guess Kevin was excited about getting to act with this other guy who's like more of a big deal actor, so maybe that kind of contributed to why he had this meltdown when he had to do such a stupid part immediately after.",sub-1005,4.0,78
1005,10,3,"Kate has a really toxic relationship with food and with herself and she's just everywhere she goes constantly, constantly beating herself up, calling herself stupid about the way that she interacts with food in her life and her weight.",sub-1005,2.0,79
1005,10,4,"Randall probably should have talked to his wife before bringing this strange man home. think he's behaving very erratically throughout the entirety of this show. It's a little irritating, honestly.",sub-1005,3.0,80
1008,1,1,"Kevin seems like an authentic person. He seems like a good friend. maybe he's an actor because he was seen on that set when he went, when he was throwing the baby. Um, but yeah, he seems like a good person.",sub-1008,4.0,81
1008,1,2,"Jack, Jack seems like he's in love. He's in a happy relationship with the woman. it seems like they're very intimate with each other. He seems very comfortable in this situation.",sub-1008,1.0,82
1008,1,3,"Randall seems very smart. seems like he has a perfect life. He has children. He has a nice home. maybe he has issues with his um parents. yeah, but he seems like a pretty, um, well-established character.",sub-1008,3.0,83
1008,1,4,"Kate seems like she's going through some sort of midlife crisis. You see her in the beginning throwing out food. Maybe she's trying to make a difference in her life. And I'm assuming the poop was so she wouldn't go back into the trash to get it. Um, but yeah, she seems like she's going through something right now. Uh, she seems to have been maybe childhood friends with Kevin. And they're in it together. They XXX might be roommates. Um, but yeah, she seems, I'm interested in how she's going to overcome whatever she's dealing with.",sub-1008,2.0,84
1008,2,1,"I'm glad that Kate’s going on a date. maybe she's trying to change something about her diet because she refused um dessert, and we see her in the beginning throwing out like a bunch of food so maybe that's what she's dealing with right now.",sub-1008,2.0,85
1008,2,2,"I feel a little bad for Kevin. I know how hard it is in the acting industry to find jobs and he seems like he cares about, you know, his role.",sub-1008,4.0,86
1008,2,3,"Jack seems like a pretty good husband still. Now I know that the pregnancy with his wife is risky. Maybe she's a little older, so I just hope things work out for him. he seems like a very attentive husband, they have a good relationship.",sub-1008,1.0,87
1008,2,4,"Randall. At first I thought he had like a successful cookie cutter life with a good home and the children but it seems like he might not like his work as much because he seemed very uncomfortable when he was being sang happy birthday to and he was reading all the emails so it seems like maybe there's something missing in his life, um, and XXX in the first XXX of scenes, like very successful.",sub-1008,3.0,88
1008,3,1,"I empathize with Kate more, just because it's very difficult being, fitting in with beauty standards nowadays, or like I guess in general for women. So I empathize with her. Um, I'm glad that she's going out on dates, you know, trying to find people um that she can have you know romantic interest with because I know um people who struggle with body image- body image issues, um typically don't feel like they deserve any sort of relationship. Um but yeah, I, I like Kate, I'm glad that you know she's trying to better herself, I guess. But, yeah.",sub-1008,2.0,89
1008,3,2,"Kevin, I'm not getting annoyed at Kevin. I'm just, it just seems like he has a job perfect for himself. And it seems like he's complaining a lot. Maybe we need to know more context about um his previous acting experience or previous struggle with getting a job, but it seems like his problems are pretty minuscule in comparison to the other characters. also, I think he might be a younger sibling with Kevin and Kate just because the way he acts, I feel like Kate um is like the supportive one, the one who like comforts him.",sub-1008,4.0,90
1008,3,3,"Jack’s a good father, he's a good man, and um he seems to have a good relationship uh with his mother. Um, yeah, nothing's changed with him.",sub-1008,1.0,91
1008,3,4,"I'm just a little confused as to why Randall says he doesn't want to meet with him now. But then later on we see him meeting with the man who I assume was his father. Um, but yeah, I mean I was further um, reminded that he's rich. I mean he spent, I don't know how much money, finding his father, so clearly he has a good life for himself. But there's this lingering question about you know his father and maybe why he left him at the fire station when he was younger. .",sub-1008,3.0,92
1008,4,1,"I feel bad for Kate, she spent like she said 36 years and she hasn't had a good relationship in a while and yeah I empath- and I empathize with her just because it's very hard to want, move on with your life when you have this issue of self identity and how you see yourself. I like the relationship which she has with her brother Kevin. I think they seem like a very nice um, you know pair of siblings. I'm assuming that their parents are both passed, or both dead so it must have made them a little bit closer. Um, but yeah, I like their relationship. Uh, I hope that, you know, Kate aspires to do something about her relationship with her body and she has a more healthy relationship with it and that she um finds love that she's looking for.",sub-1008,2.0,93
1008,4,2,"Jack’s a good father, he's a good man, and um he seems to have a good relationship uh with his mother. Um, yeah, nothing's changed with him.",sub-1008,1.0,94
1008,4,3,Randall I think is a pretty brave character for wanting to meet with his father. I know it must be a difficult decision considering that father abandoned him at such a young age. So I give him props for doing that. it seems like his wife is pretty supportive of him. So it's good that he has that relationship in his life. Uh yeah.,sub-1008,3.0,95
1008,4,4,"Kevin. I'm starting to lose interest in Kevin. I think the other characters, relationships, and stories are much more interesting. I'm just a little confused as to um what Kevin's goal is. Uh, does he want to be a big star? Like does he want to quit this job? Like I don't understand. Also I forgot to mention that earlier with Randall when he mentioned Manny. And that's the show that Kevin's in. I just forgot to make that comment. So I'll just say it now. Um, yeah it's interesting. Now at least we know that they live and they exist in the same universe as one another. And it's not just like, I don't know, different, different stories going on if that makes sense.",sub-1008,4.0,96
1008,5,1,I guess more my thoughts about his father. I'm not saying that there's an excuse for abandoning his son. But it's just interesting to know that he wasn't in the best state of mind. So yeah and Randall is just a little confusing maybe for me because being never in that situation that he wants to meet with his father. But yeah when the time comes he doesn't know what to say to him. So that's just a little bit confusing.,sub-1008,3.0,97
1008,5,2,"I thought Kevin was a pretty boring character. But now I realize that there's more substance for him. Um, he clearly wants more out of himself instead of this you know uh vapid lifestyle um where no one cares about anything that matters. Um, only you know, so yeah I think uh although he seems, his dreams seem pretty um, I guess materialistic. Not materialistic but it seems as though his problems aren't as uh troublesome as the others. I definitely think it's important to know you know his struggle with wanting a more fulfilling life.",sub-1008,4.0,98
1008,5,3,"just got new information as to how Kate met the man from her date. I guess what did change, I didn't know that she was in this sort of support group for other people who are also struggling with their body image um. So yeah at least Kate has a support system. but yeah nothing else really changed.",sub-1008,2.0,99
1008,5,4,"Jack’s a good father, he's a good man, and um he seems to have a good relationship uh with his mother. Um, yeah, nothing's changed with him.",sub-1008,1.0,100
1008,6,1,"Jack’s a good father, he's a good man, and um he seems to have a good relationship uh with his mother. Um, yeah, nothing's changed with him.",sub-1008,1.0,101
1008,6,2,I’m starting to have a little more respect for Kevin just because before it seemed as though he- all he was doing was complaining about his job but not really doing anything to change it. so now it seems like he's taking a stance. Now that he's quit his job in front of a live audience which I think will have some repercussions um just because it might be more difficult to find a job in the future after you making a scene out of yourself but I think it was worth it because um he needs to know his worth.,sub-1008,4.0,102
1008,6,3,Randall's a very strong-willed character and I think he's very secure in himself. I thought it was pretty noble of him to want to present his children to his father even though um he didn't really get the satisfaction of you know when he met him since it was pretty unfortunate. The father didn't really say sorry about it. He doesn't really feel remorse towards leaving his son. but yeah think it's pretty noble of him to uh want his children to meet hi- uh their grandfather.,sub-1008,3.0,103
1008,6,4,"I like Kate as a character. Um, she's not the type of character, you know, you feel pity for. Uh, I know there's some characters that kind of give off that energy like, oh my life sucks but it seems as though she's trying to make a difference and hey, she's meeting new people. So it seems like her life is, um, besides you know, with her weight, but it seems like her life is going well for herself. And, um, as a viewer I want things to get better for her. I think like she deserves that.",sub-1008,2.0,104
